"county","ass","asshole","bastard","bitch","bitched","bitchy","bloody","bullshit","cock","crap","crappy","cunt","damn","damnit","damned","darn","dick","dickhead","douche","douchebag","dumbass","dyke","fag","faggot","fatass","freaking","friggin","fuck","fucked","fucker","fuckery","fucking","goddamn","gosh","hell","hoe","homo","jackass","motherfucker","motherfucking","nigger","piss","pissed","pissy","pussy","shit","shittiest","shitty","slut","slutty","twat","whore"
"texas,reeves",1829.42,98.044,8.913,1535.287,2.228,8.913,4.457,236.198,13.37,91.36,11.141,8.913,1361.481,28.968,33.424,2.228,169.35,0,11.141,4.457,82.446,2.228,22.283,42.337,28.968,95.816,4.457,3489.491,387.721,73.533,2.228,1655.614,11.141,66.848,804.41,294.133,2.228,6.685,49.022,4.457,37.881,66.848,129.24,6.685,325.329,3088.4,0,53.479,57.935,4.457,2.228,49.022
"texas,refugio",1755.355,148.108,10.971,1036.756,3.657,18.285,1.828,276.103,9.142,106.053,12.799,9.142,1062.355,20.113,23.77,12.799,164.565,1.828,16.456,1.828,58.512,1.828,16.456,31.084,5.485,140.794,0,1980.26,246.847,40.227,7.314,744.197,7.314,96.91,605.232,373.013,14.628,14.628,31.084,1.828,5.485,111.538,270.617,5.485,115.195,2519.665,1.828,58.512,53.026,10.971,0,117.024
"texas,roberts",749.813,0,0,249.938,0,0,0,124.969,0,374.906,124.969,0,624.844,0,0,124.969,124.969,0,0,0,249.938,0,0,0,0,0,0,249.938,249.938,0,0,124.969,0,249.938,499.875,0,0,0,0,0,0,0,124.969,0,0,1249.688,0,0,0,0,0,0
"texas,robertson",2504.722,49.705,4.322,1709.435,4.322,12.967,8.644,153.439,6.483,95.089,4.322,6.483,1629.474,15.128,25.933,0,246.366,0,32.417,4.322,66.994,0,36.739,8.644,12.967,159.922,4.322,1737.529,231.238,15.128,6.483,555.404,45.383,71.317,819.059,648.332,8.644,12.967,23.772,12.967,6.483,99.411,159.922,4.322,300.394,2714.349,0,49.705,34.578,2.161,6.483,36.739
"texas,rockwall",844.204,58.256,9.88,568.254,3.066,5.11,11.242,79.038,9.88,135.931,14.649,17.715,744.044,21.122,9.198,19.419,134.909,1.703,23.507,3.066,22.826,2.725,40.2,37.475,8.176,198.957,6.814,952.54,117.875,13.968,2.385,488.875,10.22,116.512,460.94,281.401,10.902,5.11,4.429,3.407,6.814,62.685,158.757,2.385,86.192,1257.449,2.385,59.619,45.651,6.473,3.747,33.387
"texas,runnels",381.429,30.514,15.257,396.686,0,0,0,61.029,15.257,183.086,0,0,640.801,0,15.257,0,15.257,0,15.257,0,0,0,0,15.257,0,61.029,0,427.2,30.514,0,0,427.2,0,61.029,427.2,45.771,15.257,0,0,15.257,0,61.029,76.286,15.257,30.514,778.115,15.257,30.514,61.029,0,0,45.771
"texas,rusk",1581.819,48.902,13.972,934.121,4.99,4.99,6.986,96.805,12.974,98.801,16.966,18.962,1329.327,9.98,25.948,7.984,155.687,2.994,15.968,1.996,21.956,0.998,21.956,9.98,0.998,80.837,2.994,1780.42,179.639,13.972,7.984,559.874,8.982,95.807,681.629,490.015,5.988,3.992,13.972,3.992,18.962,86.825,145.707,3.992,132.733,2252.47,5.988,55.888,22.954,1.996,0.998,54.89
"texas,sabine",1631.437,17.733,0,1072.847,0,17.733,0,159.597,0,88.665,8.867,8.867,1595.971,8.867,17.733,35.466,88.665,0,8.867,0,26.6,0,35.466,0,0,150.731,8.867,1126.046,212.796,8.867,0,602.922,0,26.6,1037.381,328.061,0,0,17.733,0,26.6,70.932,319.194,0,62.066,2411.69,0,62.066,26.6,17.733,8.867,70.932
"texas,san augustine",2337.22,54.102,5.41,898.098,0,0,0,227.23,5.41,97.384,0,5.41,2099.17,5.41,5.41,5.41,173.127,0,5.41,0,5.41,0,0,0,5.41,70.333,5.41,1412.07,351.665,5.41,5.41,627.587,0,54.102,1401.25,568.074,0,5.41,0,5.41,21.641,97.384,270.512,5.41,232.64,3527.47,0,27.051,32.461,5.41,0,32.461
"texas,san jacinto",2138.813,148.676,27.611,1905.179,4.248,6.372,6.372,142.304,27.611,104.073,16.992,33.983,1151.178,19.116,21.239,10.62,409.921,0,19.116,8.496,29.735,2.124,19.116,61.594,4.248,214.518,16.992,2240.762,327.088,38.231,2.124,996.13,2.124,65.842,632.936,490.631,0,12.744,12.744,4.248,10.62,133.809,254.873,8.496,356.823,2952.283,4.248,91.33,48.851,6.372,4.248,57.347
"texas,san patricio",1352.546,86.628,8.99,1127.803,7.355,17.162,8.99,154.46,15.119,136.481,8.172,28.195,1017.066,20.023,10.216,16.754,216.162,1.634,13.485,3.678,48.626,2.452,37.185,42.497,14.302,279.499,2.043,2388.409,249.261,41.68,0.409,1409.754,7.764,123.813,447.852,279.908,13.485,4.903,23.292,7.355,7.764,92.349,230.873,4.903,154.051,2126.072,3.269,88.263,85.402,6.129,0.409,70.283
"texas,san saba",796.223,55.55,74.067,462.92,18.517,0,0,37.034,0,351.819,0,18.517,462.92,0,0,74.067,185.168,0,111.101,0,0,0,55.55,55.55,0,129.618,0,1018.424,240.718,55.55,0,351.819,0,259.235,518.471,111.101,0,0,0,0,0,92.584,111.101,0,18.517,962.874,18.517,37.034,18.517,0,0,74.067
"texas,schleicher",1003.046,167.174,0,873.022,0,37.15,0,92.875,18.575,148.599,18.575,74.3,705.847,0,18.575,18.575,55.725,0,55.725,0,37.15,0,0,0,0,130.025,0,631.548,74.3,18.575,0,204.324,0,148.599,668.698,260.049,0,0,0,0,0,148.599,241.474,18.575,92.875,1393.12,0,111.45,55.725,0,0,18.575
"texas,scurry",994.773,59.428,10.335,602.031,0,5.168,7.751,87.85,5.168,229.96,15.503,18.087,894.004,33.59,15.503,15.503,74.931,10.335,10.335,0,28.422,0,28.422,15.503,0,224.793,5.168,950.848,87.85,2.584,0,449.586,2.584,178.284,612.367,222.209,10.335,7.751,7.751,0,0,69.763,131.775,2.584,77.515,1315.167,0,56.844,25.838,2.584,0,18.087
"texas,shackelford",157.296,0,0,112.355,0,0,0,22.471,0,67.413,22.471,0,157.296,22.471,0,22.471,0,0,0,0,0,0,0,0,0,112.355,0,269.651,22.471,0,0,44.942,0,292.122,112.355,0,0,0,0,0,0,44.942,179.767,0,44.942,247.18,0,22.471,44.942,0,0,22.471
