county,you,he,she,it,we,they,me,him,her,us,them,mine,yours,his,hers,its,ours,theirs
"texas,caldwell",23046.56,2438.05,2499.44,13164.15,4044.5,2425.95,13677.62,936.71,1788.77,749.74,1232.51,496.73,162.78,840.9,6.51,832.53,17.67,22.32
"texas,calhoun",20682.33,2535.87,2237.53,12276.76,3677.1,2587.99,13110.67,930.96,1502.47,638.01,1254.45,364.83,159.95,947.13,12.58,639.81,10.78,34.15
"texas,callahan",25343.73,2622.52,1964.17,12334.53,4532.27,2127.39,12590.25,1060.98,1447.28,767.17,1256.85,413.51,97.94,832.46,5.44,788.93,5.44,16.32
"texas,cameron",22150.26,2519.34,2271.34,12634.96,3401.6,2472.86,13634.26,1119.52,1727.83,692.35,1205.62,352.75,135.17,891.8,9.45,1013.39,10.31,13.58
"texas,camp",17588.53,3460.69,3710.14,12215.35,3341.9,2716.28,15066.26,1247.27,2229.25,609.78,1302.71,388.04,83.15,1061.17,19.8,855.27,3.96,11.88
"texas,carson",25777.17,2809.05,2368.41,12458.97,4075.88,2489.59,11875.12,947.37,1762.54,793.14,1123.62,242.35,231.33,1211.75,11.02,616.89,0,11.02
"texas,cass",20967.63,3043.55,2717.22,12509.22,3931.16,2738.97,13103.14,1174.78,1875.3,735.33,1385.8,356.79,132.71,1131.27,15.23,637.43,13.05,2.18
"texas,castro",25006.18,2804.77,2146.03,13221,3839.19,2712.13,13545.23,941.78,1724.03,694.76,1338.05,427.15,97.78,905.76,5.15,972.66,5.15,0
"texas,chambers",23065.73,2758.66,2934.94,13032.79,3897.07,2903.8,12598.96,931.52,2001.84,790.6,1403.35,338.3,108.19,950.52,14.78,497.16,16.89,10.55
"texas,cherokee",21300.61,2635.67,2729.47,13571.99,3581.37,3046.24,12364.87,973.38,1648.44,736.57,1477.76,364.44,144.55,911.87,13.84,747.34,13.84,3.08
"texas,childress",29143.5,2577.95,2502.8,13300.12,4335.11,2647.31,13502.42,890.14,1416.14,913.26,1387.23,445.07,161.84,606.91,28.9,398.83,17.34,40.46
"texas,clay",28537.31,2015.29,2434.18,14136.72,4063.57,2671.66,13829.98,775.11,1629.38,745.43,1477.66,415.59,164.92,761.92,9.89,560.72,6.6,13.19
"texas,cochran",18764.89,2482.13,794.28,7545.67,2482.13,2184.27,8836.38,992.85,992.85,695,1092.14,198.57,99.28,893.57,0,595.71,0,0
"texas,coke",22361.82,2370.51,2410.02,12010.59,5610.21,2331,12761.25,829.68,2054.44,869.19,1264.27,355.58,39.51,553.12,39.51,395.08,0,0
"texas,coleman",21907.48,1994.07,1570.67,12210.28,3674.01,2130.65,11595.67,655.59,1174.59,710.22,1324.83,450.71,122.92,956.06,0,1393.12,0,13.66
"texas,collin",21468.36,2478.28,2150.51,11871.44,3857.78,2527.02,11873.76,932.59,1554.82,771.26,1211.43,275.55,129.31,970.51,9.06,771.95,12.51,10.41
"texas,collingsworth",27160.41,2654.78,2382.49,13410.03,3777.95,2110.21,14226.88,1089.14,1871.96,442.46,1089.14,408.43,238.25,884.93,34.04,1531.6,0,34.04
"texas,colorado",22714.48,2706.82,2528.51,12832.87,4117.34,2576.59,12939.06,1061.89,1793.19,747.33,1356.42,340.61,132.24,949.69,14.03,697.24,10.02,12.02
"texas,comal",21971.94,2374.11,2191.82,12480.77,3863.88,2354,11898.94,939.85,1572.39,764.56,1192.95,329.6,113.22,963.02,11.37,553.86,15.74,7.87
"texas,comanche",20661.28,2201.06,1760.85,12804.44,3703.53,2392.46,10804.34,928.27,1311.07,689.03,1138.81,334.94,133.98,746.45,0,669.89,9.57,0
"texas,concho",22334.29,2616.41,1478.84,13650.84,3602.3,1554.68,11944.49,1175.49,1554.68,872.14,910.06,379.19,151.68,796.3,37.92,720.46,37.92,0
"texas,cooke",23625.8,2692.31,2244.93,12741.72,4029.11,2466.61,12500,942.84,1497.06,769.23,1167.2,317.84,101.5,902.78,6.68,637.02,10.68,21.37
"texas,coryell",21867.93,2802.74,2858.66,12332.32,3332.24,3101.68,12444.16,1055.55,2093.88,648.21,1446.96,351.85,127.32,1070.17,9.89,850.37,13.76,14.62
"texas,cottle",20229.51,2501.1,1765.48,13756.07,4928.65,3016.04,10225.1,956.3,809.18,514.93,1103.43,294.25,0,588.5,0,147.12,0,0
"texas,crane",20899.49,2215.49,1895.48,13022.18,3077.07,2264.73,10388.2,1156.98,1452.38,566.18,1107.75,320.02,73.85,787.73,0,467.71,0,196.93
"texas,crockett",18964.32,2296.57,2052.25,13518.8,4234.8,2079.4,12221.21,1134.71,1807.93,852.39,1161.86,331.18,135.73,743.8,10.86,819.82,16.29,16.29
"texas,crosby",19560.48,3034.23,2091.56,13285.81,4418.78,2209.39,11223.71,1502.39,1325.63,707,1855.89,559.71,235.67,942.67,0,530.25,0,0
"texas,culberson",17230.74,1829.99,1274.83,10692.11,4091.79,1994.49,9540.65,781.35,781.35,637.41,801.91,205.62,82.25,637.41,0,534.61,20.56,20.56
"texas,dallam",22185.3,2050.59,3553.18,11932.33,3500.15,2510.21,13717.76,654.07,3234.99,689.42,1272.78,282.84,88.39,601.04,0,689.42,0,0
"texas,dallas",19237.85,2819.86,2689.72,11392.6,3674.32,2979.63,11595.93,1020.72,1863.27,742.65,1362.59,265.72,121.66,1076.18,11.27,864.5,12.55,12.38
"texas,dawson",24783.85,2907.7,2437.34,13324.1,3292.54,3018.87,12973.46,1111.77,2078.15,667.06,1257.15,324.98,196.7,1000.59,25.66,812.45,17.1,17.1
"texas,de witt",24153.82,2550.11,2793.46,12121.9,3847.98,2484.2,14327.27,988.61,2105.24,714.84,1325.75,420.79,134.35,854.26,15.21,820.04,16.48,34.22
"texas,deaf smith",22176.56,2329.89,3135.56,12662.99,4079.79,2306.14,14092.2,948.19,1888.46,833.38,1304.5,401.84,148.46,815.56,11.88,1025.39,13.86,5.94
"texas,delta",26490.36,2347.33,2570.58,11717.5,4477.78,2238.89,15219.36,854.73,1939.1,784.57,1160.91,452.88,121.19,727.16,0,503.91,19.14,6.38
"texas,denton",20880.66,2528.07,2159.84,12527.7,3792.7,2674.4,11610.43,891.69,1553.21,755.76,1254.06,283.72,116.64,968.47,9.38,689.13,13.27,9.8
"texas,dickens",16632.24,2608.98,2065.44,9457.55,3261.22,1304.49,6305.03,434.83,1087.08,326.12,543.54,0,108.71,543.54,0,108.71,0,0
"texas,dimmit",19572,2932.68,3183.4,13983.09,3534.4,2725.34,11944.85,1154.64,2272.69,649.15,1334.89,351,112.48,1035.38,16.26,703.36,28.46,9.49
"texas,donley",22023.03,2180.75,1825.74,14010.04,3499.34,2320.22,10827.67,621.26,1141.09,862.16,1077.7,355.01,114.11,633.94,25.36,633.94,12.68,12.68
"texas,duval",22669.28,2270.72,2240.2,13188.67,3564.71,2334.54,13159.08,977.66,1759.23,583.63,1236.64,399.57,116.54,845.39,6.47,508.71,9.25,16.65
"texas,eastland",22775.97,2698.86,2245.4,12909.36,4452.03,2420.72,12085.03,979.41,1353.64,792.3,1203.62,374.23,131.49,992.9,10.11,1029.98,25.29,8.43
"texas,ector",21670.82,2757.43,2390.04,12881.73,3527.26,2659.05,13377.63,1049.91,1787.76,747.39,1318.92,352.02,144.8,970.59,14.45,735.4,13.53,14.76
"texas,edwards",20093.34,4277.94,1944.52,10241.12,3370.49,1814.88,11278.19,777.81,1814.88,388.9,777.81,907.44,129.63,907.44,0,129.63,0,0
"texas,el paso",19671.73,2409.17,1961.94,12639.4,3219.11,2488.28,12448.99,1005.55,1543.58,708.81,1173.66,275.66,108.7,932.14,8.95,951.56,9.31,11.69
"texas,ellis",23768.82,2642.48,2466.2,12330.47,3986.06,2558.86,13578.84,961.86,1697.8,778.45,1303.61,387.82,133.52,911.08,13.36,726.52,15.53,17.06
"texas,erath",20830.92,2164.95,2069.51,13477.79,3601.14,2375.68,11663.56,817.47,1551.47,726.89,1140.12,307.3,123.14,790.15,10.86,451.78,17.97,8.23
"texas,falls",20780.99,2277.69,2265.95,12632.96,4308.83,3134.76,11335.62,1033.18,1731.75,763.14,1361.92,281.78,111.54,839.46,17.61,604.64,11.74,5.87
"texas,fannin",23789.8,2210.32,2220.82,12817.74,4039.49,2585.46,12796.74,882.33,1547.07,729.27,1479.55,376.64,109.54,819.3,3,615.23,18.01,15.01
"texas,fayette",21805.59,2305.67,2295.17,12134.39,3580.76,2509.68,12815.44,859.56,1593.12,732.05,1333.6,360.03,147.01,885.07,12,808.56,7.5,39
"texas,fisher",21545.15,3129.61,2689.91,13009.85,4215.92,2379.54,13216.77,1267.36,1758.79,646.61,1319.09,310.37,25.86,750.07,0,439.7,0,0
"texas,floyd",22607.8,2641.34,2354.62,12485.56,3223.48,2215.6,12685.39,1181.65,1755.1,477.87,1294.61,269.35,199.84,1060.01,17.38,269.35,34.76,17.38
"texas,foard",26017.18,1215.76,6808.23,16453.23,5187.23,2674.66,13130.17,810.5,3079.92,567.35,1702.06,243.15,162.1,567.35,0,2755.71,0,0
